restaurant_id,restaurant_name,location_area,cuisine_type,price_range,avg_cost_for_two,ambience_type,overall_rating,popular_dishes,has_home_delivery,has_vegetarian_options,is_family_friendly,contact_number,address,opening_hours,years_in_business,total_reviews
1047,Coimbatore Palace Sweet Shop,Gandhipuram,Chinese,$$$,1831,Traditional,4.3,"Manchurian, Chilli Chicken, Schezwan Fried Rice",Yes,Yes,No,0422-261537,"347, Opposite Gandhipuram Bus Stand, Gandhipuram, Coimbatore - 641089",10:00 AM to 12:00 AM,3,2741
1048,McDonald's Darbar,Vadavalli,Bakery & Cafe,$$,1446,Casual,4.6,"Cappuccino, Donut",Yes,Yes,No,0422-212903,"779, Main Road, Vadavalli, Coimbatore - 641091",7:00 AM to 11:00 PM,6,2503
1049,Subway Ice Cream Parlor,Gandhipuram,Vegetarian,$$,1221,Family-style,4.4,"Paneer Tikka, Aloo Gobi",Yes,Yes,No,0422-250140,"700, Near Brookefields Mall, Gandhipuram, Coimbatore - 641040",10:00 AM to 12:00 AM,5,1952
1050,Annapoorna,RS Puram,Chinese,$$$,2123,Casual,3.8,"Chilli Chicken, Hot & Sour Soup, American Chopsuey",Yes,Yes,No,0422-255615,"257, Near DB Road, RS Puram, Coimbatore - 641068",9:00 AM to 10:00 PM,13,4008
1051,Subway Bakery,Saravanampatti,South Indian,$,742,Family-style,4.3,"Filter Coffee, Uttapam, Masala Dosa, Kesari Bath",Yes,Yes,Yes,0422-265107,"795, Near KMCH Hospital, Saravanampatti, Coimbatore - 641039",11:00 AM to 11:00 PM,8,1607
1052,Rasam Bhavan,Saibaba Colony,Chettinad,$$$,1868,Family-style,4.2,"Kola Urundai, Chettinad Chicken, Fish Fry, Karaikudi Mutton",Yes,No,No,0422-297973,"180, Near Coimbatore Institute of Technology, Saibaba Colony, Coimbatore - 641035",8:00 AM to 12:00 AM,29,3047
1053,KFC Darbar,Sitra,Italian,$$$$,5418,Modern,4.1,"Tiramisu, Bruschetta, Pizza Margherita",No,Yes,Yes,0422-294924,"691, Main Road, Sitra, Coimbatore - 641060",11:00 AM to 11:00 PM,3,3282
1054,The Eatery Fast Food,Ukkadam,South Indian,$$,1282,Casual,4.4,"Rava Dosa, Idli Sambar, Bisi Bele Bath, Kesari Bath",Yes,Yes,Yes,0422-229015,"664, Main Road, Ukkadam, Coimbatore - 641018",10:00 AM to 12:00 AM,10,3394
1055,A2B,Gandhipuram,South Indian,$$,1197,Family-style,4.7,"Bisi Bele Bath, Pongal",Yes,Yes,Yes,0422-254935,"761, Near Brookefields Mall, Gandhipuram, Coimbatore - 641029",10:00 AM to 12:00 AM,4,4058
1056,Copper Chimney,Ramanathapuram,Chettinad,$,350,Modern,4.6,"Pepper Chicken, Karaikudi Mutton, Fish Fry",Yes,Yes,Yes,0422-207936,"408, Main Road, Ramanathapuram, Coimbatore - 641045",8:00 AM to 10:00 PM,28,3775
1057,Sree Annapoorna Hotel,RS Puram,South Indian,$$$,1940,Traditional,4.2,"Pongal, Vada",Yes,Yes,Yes,0422-230539,"793, Opposite PSG College, RS Puram, Coimbatore - 641028",11:00 AM to 10:00 PM,9,1235
1058,A2B Restaurant,Ukkadam,Fusion,$$$,1832,Casual,4.3,"Paneer Tikka Pizza, Curry Pizza, Biryani Burrito",No,Yes,Yes,0422-297735,"66, Main Road, Ukkadam, Coimbatore - 641070",10:00 AM to 11:00 PM,17,4913
1059,Junior Kuppanna Bakery,Singanallur,South Indian,$$,1667,Family-style,4.3,"Masala Dosa, Kesari Bath",Yes,Yes,Yes,0422-209632,"921, Main Road, Singanallur, Coimbatore - 641020",9:00 AM to 12:00 AM,5,588
1060,McDonald's Juice Center,Saibaba Colony,South Indian,$$$$,5262,Casual,4.8,"Uttapam, Kesari Bath, Bisi Bele Bath, Filter Coffee",Yes,Yes,Yes,0422-272264,"887, Near Lakshmi Mills, Saibaba Colony, Coimbatore - 641037",10:00 AM to 11:00 PM,29,1921
1061,Anjappar Sweet Shop,Thudiyalur,Chinese,$$,868,Casual,4.0,"Chilli Chicken, Spring Rolls, Manchurian, Schezwan Fried Rice",No,Yes,Yes,0422-248843,"832, Main Road, Thudiyalur, Coimbatore - 641026",11:00 AM to 10:00 PM,19,4650
1062,Rasam Grill,Saibaba Colony,Chettinad,$$$,2012,Family-style,4.3,"Chettinad Chicken, Fish Fry, Prawn Masala, Karaikudi Mutton",Yes,Yes,No,0422-214184,"866, Near Coimbatore Institute of Technology, Saibaba Colony, Coimbatore - 641081",9:00 AM to 10:00 PM,25,2332
1063,Mughal Darbar Restaurant,Thudiyalur,Chettinad,$$,1079,Traditional,3.8,"Kola Urundai, Fish Fry, Chettinad Chicken, Pepper Chicken",Yes,Yes,No,0422-218776,"580, Main Road, Thudiyalur, Coimbatore - 641094",10:00 AM to 10:00 PM,5,301
1064,Kovai Biryani Center Sweet Shop,Ukkadam,South Indian,$,379,Casual,3.7,"Rava Dosa, Idli Sambar, Masala Dosa",Yes,Yes,No,0422-286761,"435, Main Road, Ukkadam, Coimbatore - 641072",11:00 AM to 11:00 PM,14,2287
1065,A2B Bakery,Ukkadam,South Indian,$$,1204,Modern,4.5,"Kesari Bath, Uttapam, Masala Dosa, Idli Sambar",No,Yes,Yes,0422-217987,"783, Main Road, Ukkadam, Coimbatore - 641042",9:00 AM to 11:00 PM,4,113
1066,Buhari Hotel,Saravanampatti,Chinese,$$,1246,Casual,4.7,"Hot & Sour Soup, Hakka Noodles, Schezwan Fried Rice, Dumplings",Yes,Yes,Yes,0422-275156,"727, Near KMCH Hospital, Saravanampatti, Coimbatore - 641091",10:00 AM to 11:00 PM,4,3368
1067,Mughal Darbar Barbecue,Peelamedu,South Indian,$$$,2016,Casual,4.4,"Idli Sambar, Filter Coffee, Kesari Bath",Yes,Yes,Yes,0422-240668,"348, Near Hope College, Peelamedu, Coimbatore - 641038",9:00 AM to 10:00 PM,3,4231
1068,Barbeque Nation,Ukkadam,Kerala,$,352,Casual,4.6,"Kappa & Meen Curry, Fish Curry, Malabar Parotta, Kerala Sadya",No,Yes,Yes,0422-285918,"78, Main Road, Ukkadam, Coimbatore - 641032",10:00 AM to 11:00 PM,25,4668
1069,Sree Gowri Shankar Sweet Shop,Singanallur,Biryani,$$$,2760,Family-style,4.5,"Prawn Biryani, Mutton Biryani, Egg Biryani, Chicken Biryani",Yes,Yes,No,0422-266497,"76, Main Road, Singanallur, Coimbatore - 641049",10:00 AM to 11:00 PM,2,516
1070,Geetha Canteen Juice Center,Peelamedu,North Indian,$$,1129,Family-style,3.9,"Butter Chicken, Biryani, Chole Bhature, Paneer Butter Masala",Yes,Yes,Yes,0422-245015,"87, Near Hope College, Peelamedu, Coimbatore - 641074",8:00 AM to 10:00 PM,8,3636
1071,The French Door Ice Cream Parlor,Ukkadam,Desserts,$$$,3190,Family-style,4.5,"Kulfi, Falooda, Ice Cream Sundae",Yes,Yes,No,0422-212387,"572, Main Road, Ukkadam, Coimbatore - 641096",10:00 AM to 11:00 PM,9,4987
1072,Dindigul Thalappakatti Ice Cream Parlor,Peelamedu,Multi-Cuisine,$,604,Traditional,4.8,"Dessert Platter, Mocktails, Biryani, Grilled Chicken",No,Yes,Yes,0422-243054,"687, Near Airport, Peelamedu, Coimbatore - 641099",11:00 AM to 10:00 PM,21,3518
1073,AB's Absolute Barbecues Sweet Shop,Gandhipuram,Italian,$$$$,4134,Casual,4.5,"Risotto, Pasta Alfredo, Bruschetta",Yes,Yes,Yes,0422-296815,"39, Near Brookefields Mall, Gandhipuram, Coimbatore - 641094",9:00 AM to 12:00 AM,5,4942
1074,Mughal Darbar Kitchen,RS Puram,North Indian,$$$,3185,Traditional,5.0,"Rogan Josh, Naan",Yes,Yes,Yes,0422-258841,"547, Near Race Course, RS Puram, Coimbatore - 641040",9:00 AM to 11:00 PM,29,1639
1075,Kovai Biryani Center Bakery,PN Palayam,North Indian,$$$,2083,Traditional,3.4,"Rogan Josh, Paneer Butter Masala, Tandoori Chicken, Chole Bhature",No,Yes,Yes,0422-213446,"729, Main Road, PN Palayam, Coimbatore - 641076",7:00 AM to 11:00 PM,3,1363
1076,Anjappar,Sitra,North Indian,$,776,Casual,4.5,"Tandoori Chicken, Naan",No,Yes,No,0422-210696,"384, Main Road, Sitra, Coimbatore - 641038",7:00 AM to 11:00 PM,30,861
1077,Buhari Hotel Hotel,Saibaba Colony,Bakery & Cafe,$$,1430,Cafe-style,4.2,"Croissant, Cookies, Donut",No,Yes,Yes,0422-271932,"624, Near Lakshmi Mills, Saibaba Colony, Coimbatore - 641077",10:00 AM to 10:00 PM,25,2410
1078,Sri Krishna Sweets,Gandhipuram,South Indian,$$$,2823,Family-style,4.4,"Idli Sambar, Bisi Bele Bath, Filter Coffee",No,Yes,No,0422-218818,"440, Opposite Gandhipuram Bus Stand, Gandhipuram, Coimbatore - 641010",11:00 AM to 11:00 PM,8,4724
1079,Geetha Canteen,Saibaba Colony,Chinese,$,625,Casual,4.2,"Hakka Noodles, Schezwan Fried Rice, Dumplings, American Chopsuey",Yes,Yes,Yes,0422-208855,"247, Near Coimbatore Institute of Technology, Saibaba Colony, Coimbatore - 641094",7:00 AM to 12:00 AM,24,2773
1080,Namma Veedu Kitchen,Peelamedu,South Indian,$$$,3461,Casual,3.6,"Kesari Bath, Bisi Bele Bath, Rava Dosa, Idli Sambar",Yes,Yes,No,0422-226422,"811, Near Airport, Peelamedu, Coimbatore - 641035",7:00 AM to 11:00 PM,30,2590
1081,KFC Hotel,Kalapatti,Italian,$$$,3399,Casual,4.3,"Garlic Bread, Lasagna",Yes,Yes,Yes,0422-257272,"911, Main Road, Kalapatti, Coimbatore - 641061",10:00 AM to 11:00 PM,11,1580
1082,Sri Sabareesh Fast Food,Singanallur,Chinese,$$$,3484,Casual,4.5,"Dumplings, Hakka Noodles, Schezwan Fried Rice, Chilli Chicken",Yes,Yes,Yes,0422-238750,"314, Main Road, Singanallur, Coimbatore - 641067",11:00 AM to 12:00 AM,14,1415
1083,AB's Absolute Barbecues,Peelamedu,Andhra,$$$,3174,Family-style,5.0,"Royyala Iguru, Pulihora, Andhra Chicken Curry, Pesarattu",Yes,Yes,Yes,0422-204081,"870, Near Airport, Peelamedu, Coimbatore - 641087",10:00 AM to 10:00 PM,5,600
1084,Sree Gowri Shankar Hotel,Saibaba Colony,South Indian,$$$,3362,Casual,4.2,"Kesari Bath, Rava Dosa, Pongal, Vada",No,Yes,Yes,0422-236528,"984, Near PSG Tech, Saibaba Colony, Coimbatore - 641024",7:00 AM to 12:00 AM,6,4138
1085,Barbeque Nation,Sitra,Italian,$,655,Modern,3.9,"Risotto, Garlic Bread, Lasagna",Yes,Yes,Yes,0422-259250,"177, Main Road, Sitra, Coimbatore - 641066",7:00 AM to 12:00 AM,28,2668
1086,Subway Bakery,Avinashi Road,Kerala,$$$,2841,Casual,4.2,"Fish Curry, Kappa & Meen Curry, Malabar Parotta, Beef Fry",Yes,Yes,No,0422-264752,"27, Main Road, Avinashi Road, Coimbatore - 641056",11:00 AM to 12:00 AM,12,3878
1087,Geetha Canteen Cafe,Ukkadam,Fast Food,$,721,Casual,4.6,"Hot Dog, Wrap, Sandwich, Fried Chicken",No,Yes,No,0422-261057,"697, Main Road, Ukkadam, Coimbatore - 641076",9:00 AM to 10:00 PM,29,4566
1088,Noodle Bar Hotel,RS Puram,Kerala,$$$,2460,Modern,4.6,"Malabar Parotta, Beef Fry, Kappa & Meen Curry, Kerala Sadya",Yes,Yes,Yes,0422-237230,"257, Near Race Course, RS Puram, Coimbatore - 641035",11:00 AM to 11:00 PM,5,2530
1089,Coimbatore Palace Bhavan,Gandhipuram,Chettinad,$$,842,Traditional,4.1,"Kola Urundai, Prawn Masala, Fish Fry, Pepper Chicken",No,No,Yes,0422-275598,"667, Opposite Gandhipuram Bus Stand, Gandhipuram, Coimbatore - 641036",11:00 AM to 11:00 PM,20,298
1090,Arya Bhavan,Saibaba Colony,Chinese,$$,1505,Casual,4.4,"Dumplings, Spring Rolls, Schezwan Fried Rice, Hakka Noodles",Yes,Yes,No,0422-279516,"321, Near PSG Tech, Saibaba Colony, Coimbatore - 641050",9:00 AM to 11:00 PM,5,3085
1091,Sree Annapoorna,Gandhipuram,Italian,$$,851,Casual,4.3,"Lasagna, Pizza Margherita",Yes,Yes,No,0422-220932,"957, Opposite Gandhipuram Bus Stand, Gandhipuram, Coimbatore - 641083",9:00 AM to 10:00 PM,25,1355
1092,Taco Bell Darbar,Ukkadam,Chinese,$,598,Casual,4.6,"American Chopsuey, Manchurian, Dumplings",No,Yes,Yes,0422-285755,"689, Main Road, Ukkadam, Coimbatore - 641070",9:00 AM to 12:00 AM,1,930
1093,Black Pearl Ice Cream Parlor,Kovaipudur,Chinese,$,583,Casual,3.9,"Schezwan Fried Rice, Spring Rolls",Yes,Yes,Yes,0422-281689,"697, Main Road, Kovaipudur, Coimbatore - 641088",7:00 AM to 10:00 PM,4,3276
1094,The French Door Bhavan,Kalapatti,North Indian,$,319,Casual,4.1,"Rogan Josh, Chole Bhature, Butter Chicken, Dal Makhani",Yes,Yes,Yes,0422-279463,"915, Main Road, Kalapatti, Coimbatore - 641075",8:00 AM to 11:00 PM,30,2659
1095,Taco Bell Sweet Shop,Perur,South Indian,$$,1106,Family-style,4.0,"Bisi Bele Bath, Kesari Bath, Rava Dosa, Uttapam",No,Yes,No,0422-254596,"598, Main Road, Perur, Coimbatore - 641049",7:00 AM to 12:00 AM,16,2225
1096,Sree Gowri Shankar Family Restaurant,Avinashi Road,Arabian,$$,951,Traditional,3.6,"Kebab, Falafel, Mandi, Baklava",Yes,Yes,Yes,0422-225006,"20, Main Road, Avinashi Road, Coimbatore - 641066",9:00 AM to 11:00 PM,5,3432
1097,Madurai Kumar Mess Hotel,Saravanampatti,Andhra,$$,1289,Family-style,4.3,"Gongura Mutton, Gutti Vankaya, Pulihora, Royyala Iguru",Yes,Yes,Yes,0422-244869,"363, Near Kovai Medical Center, Saravanampatti, Coimbatore - 641096",9:00 AM to 12:00 AM,16,1625
1098,Arya Bhavan,Peelamedu,Continental,$$$$,5465,Fine Dining,4.5,"Steak, Bruschetta, Fish & Chips, Caesar Salad",Yes,Yes,No,0422-215974,"693, Near Hope College, Peelamedu, Coimbatore - 641079",10:00 AM to 11:00 PM,27,2877
1099,Arya Bhavan,Thudiyalur,Continental,$$$$,6186,Fine Dining,4.4,"Caesar Salad, Fish & Chips",Yes,Yes,Yes,0422-273664,"713, Main Road, Thudiyalur, Coimbatore - 641044",8:00 AM to 10:00 PM,20,4857
1100,Pizza Hut Family Restaurant,Gandhipuram,South Indian,$,648,Traditional,4.2,"Rava Dosa, Kesari Bath, Masala Dosa",No,Yes,Yes,0422-253334,"958, Near Brookefields Mall, Gandhipuram, Coimbatore - 641070",10:00 AM to 12:00 AM,7,2403
1101,Geetha Canteen Family Restaurant,Saibaba Colony,North Indian,$$$,1874,Modern,3.8,"Butter Chicken, Paneer Butter Masala, Biryani, Rogan Josh",Yes,Yes,Yes,0422-237941,"10, Near PSG Tech, Saibaba Colony, Coimbatore - 641048",11:00 AM to 12:00 AM,4,2794
1102,Rathna Cafe Bhavan,Kalapatti,North Indian,$$$,2477,Casual,4.2,"Chole Bhature, Paneer Butter Masala, Butter Chicken",Yes,Yes,No,0422-296549,"346, Main Road, Kalapatti, Coimbatore - 641047",11:00 AM to 12:00 AM,25,1632
