Age,Food_Type,Dish,Spice_Level,Time,Rating
63,Veg Meals,Curd Rice,Medium,Afternoon,4
53,Dessert,Ice Cream,Low,Evening,4
64,Pizza,Cheese Pizza,Low,Evening,2
37,Pizza,Cheese Pizza,Spicy,Night,2
33,Breakfast,Dosa,Low,Morning,3
47,Breakfast,Idli,Low,Morning,5
54,Breakfast,Idli,Medium,Morning,3
66,Shawarma,Paneer Shawarma,Spicy,Night,5
52,Breakfast,Idli,Low,Morning,2
21,Pizza,Cheese Pizza,Medium,Evening,2
65,Dessert,Ice Cream,Low,Night,5
59,Breakfast,Pongal,Spicy,Morning,4
30,Veg Meals,Curd Rice,Medium,Afternoon,3
47,Biryani,Veg Biryani,Spicy,Night,5
51,Biryani,Mutton Biryani,Medium,Night,3
60,Dessert,Brownie,Low,Evening,5
18,Shawarma,Paneer Shawarma,Spicy,Night,5
16,Shawarma,Paneer Shawarma,Spicy,Evening,5
53,Shawarma,Paneer Shawarma,Medium,Evening,4
73,Pizza,Veg Pizza,Medium,Night,2
51,Breakfast,Vada,Low,Morning,4
65,Biryani,Mutton Biryani,Low,Night,3
34,Pizza,Cheese Pizza,Medium,Evening,2
54,Shawarma,Chicken Shawarma,Low,Evening,2
53,Breakfast,Pongal,Low,Morning,4
34,Veg Meals,Veg Meals,Low,Afternoon,3
20,Shawarma,Paneer Shawarma,Low,Evening,3
38,Biryani,Mutton Biryani,Spicy,Night,4
12,Biryani,Chicken Biryani,Medium,Night,5
16,Dessert,Cake,Low,Night,3
54,Veg Meals,Sambar Rice,Medium,Afternoon,2
45,Breakfast,Poori,Spicy,Morning,4
48,Shawarma,Chicken Shawarma,Low,Night,2
47,Biryani,Veg Biryani,Medium,Night,5
42,Shawarma,Paneer Shawarma,Low,Night,2
64,Dessert,Brownie,Low,Night,4
51,Pizza,Veg Pizza,Spicy,Night,2
69,Biryani,Chicken Biryani,Spicy,Afternoon,5
62,Veg Meals,Veg Meals,Spicy,Afternoon,5
34,Shawarma,Paneer Shawarma,Spicy,Evening,4
48,Veg Meals,Sambar Rice,Low,Afternoon,4
17,Pizza,Chicken Pizza,Low,Night,3
65,Biryani,Mutton Biryani,Medium,Afternoon,2
35,Veg Meals,Veg Meals,Low,Afternoon,3
49,Breakfast,Dosa,Low,Morning,2
63,Shawarma,Chicken Shawarma,Low,Evening,5
43,Dessert,Brownie,Low,Night,4
52,Breakfast,Vada,Spicy,Morning,2
65,Shawarma,Paneer Shawarma,Spicy,Night,2
14,Shawarma,Chicken Shawarma,Low,Night,4
48,Biryani,Veg Biryani,Low,Night,4
70,Breakfast,Vada,Medium,Morning,4
41,Breakfast,Pongal,Spicy,Morning,3
74,Dessert,Cake,Low,Night,2
21,Breakfast,Vada,Medium,Morning,5
46,Veg Meals,Veg Meals,Low,Afternoon,4
49,Breakfast,Pongal,Low,Morning,3
58,Shawarma,Paneer Shawarma,Low,Evening,5
22,Pizza,Cheese Pizza,Spicy,Evening,5
42,Shawarma,Paneer Shawarma,Low,Evening,3
12,Breakfast,Pongal,Spicy,Morning,3
65,Shawarma,Paneer Shawarma,Spicy,Evening,2
72,Dessert,Ice Cream,Low,Evening,4
13,Veg Meals,Veg Meals,Medium,Afternoon,4
11,Dessert,Brownie,Low,Evening,5
14,Breakfast,Dosa,Spicy,Morning,3
39,Biryani,Chicken Biryani,Spicy,Afternoon,5
63,Veg Meals,Veg Meals,Medium,Afternoon,5
21,Shawarma,Paneer Shawarma,Low,Evening,4
51,Veg Meals,Veg Meals,Medium,Afternoon,4
64,Shawarma,Paneer Shawarma,Low,Night,2
12,Shawarma,Paneer Shawarma,Low,Night,4
71,Dessert,Cake,Low,Night,4
59,Pizza,Cheese Pizza,Spicy,Night,4
15,Breakfast,Pongal,Low,Morning,3
12,Dessert,Cake,Low,Night,5
51,Breakfast,Vada,Spicy,Morning,4
21,Dessert,Brownie,Low,Evening,4
17,Biryani,Chicken Biryani,Medium,Night,4
29,Biryani,Chicken Biryani,Low,Afternoon,2
19,Breakfast,Idli,Spicy,Morning,2
36,Dessert,Brownie,Low,Night,2
64,Veg Meals,Sambar Rice,Low,Afternoon,3
39,Veg Meals,Veg Meals,Medium,Afternoon,5
27,Pizza,Cheese Pizza,Medium,Night,4
30,Dessert,Ice Cream,Low,Evening,2
44,Veg Meals,Sambar Rice,Spicy,Afternoon,5
48,Breakfast,Idli,Medium,Morning,5
28,Shawarma,Paneer Shawarma,Spicy,Night,5
36,Shawarma,Paneer Shawarma,Low,Evening,2
59,Pizza,Cheese Pizza,Spicy,Night,4
35,Dessert,Cake,Low,Night,3
54,Dessert,Cake,Low,Evening,3
38,Dessert,Brownie,Low,Evening,5
67,Breakfast,Dosa,Spicy,Morning,2
18,Dessert,Cake,Low,Evening,3
47,Biryani,Veg Biryani,Low,Night,4
35,Breakfast,Vada,Low,Morning,2
34,Biryani,Mutton Biryani,Medium,Afternoon,3
56,Veg Meals,Veg Meals,Medium,Afternoon,3
74,Biryani,Mutton Biryani,Medium,Night,2
12,Shawarma,Chicken Shawarma,Spicy,Evening,2
64,Biryani,Mutton Biryani,Low,Night,2
57,Veg Meals,Veg Meals,Low,Afternoon,4
36,Shawarma,Chicken Shawarma,Spicy,Night,2
16,Dessert,Cake,Low,Evening,2
63,Shawarma,Chicken Shawarma,Low,Night,5
12,Dessert,Ice Cream,Low,Night,5
18,Dessert,Brownie,Low,Night,4
24,Breakfast,Vada,Low,Morning,2
32,Breakfast,Poori,Medium,Morning,5
67,Dessert,Brownie,Low,Night,3
18,Breakfast,Idli,Medium,Morning,5
63,Dessert,Cake,Low,Evening,5
14,Veg Meals,Curd Rice,Low,Afternoon,5
47,Veg Meals,Curd Rice,Low,Afternoon,4
66,Dessert,Brownie,Low,Night,3
25,Shawarma,Paneer Shawarma,Spicy,Evening,5
30,Veg Meals,Curd Rice,Spicy,Afternoon,4
69,Veg Meals,Veg Meals,Low,Afternoon,3
40,Pizza,Chicken Pizza,Medium,Night,3
68,Dessert,Cake,Low,Night,3
41,Pizza,Cheese Pizza,Medium,Night,4
20,Pizza,Veg Pizza,Spicy,Evening,4
56,Veg Meals,Curd Rice,Spicy,Afternoon,5
22,Breakfast,Poori,Medium,Morning,5
56,Dessert,Ice Cream,Low,Evening,4
72,Biryani,Mutton Biryani,Medium,Afternoon,5
30,Shawarma,Chicken Shawarma,Low,Evening,4
25,Dessert,Ice Cream,Low,Evening,4
30,Shawarma,Chicken Shawarma,Medium,Night,2
28,Veg Meals,Curd Rice,Low,Afternoon,2
37,Dessert,Cake,Low,Evening,3
66,Breakfast,Idli,Medium,Morning,3
19,Pizza,Chicken Pizza,Medium,Evening,2
31,Dessert,Cake,Low,Night,5
15,Biryani,Veg Biryani,Spicy,Night,4
64,Breakfast,Idli,Medium,Morning,5
61,Biryani,Veg Biryani,Spicy,Afternoon,2
65,Dessert,Cake,Low,Night,5
39,Pizza,Chicken Pizza,Low,Evening,3
70,Veg Meals,Curd Rice,Spicy,Afternoon,3
27,Veg Meals,Curd Rice,Low,Afternoon,3
17,Breakfast,Poori,Low,Morning,5
49,Shawarma,Chicken Shawarma,Medium,Evening,3
23,Breakfast,Vada,Spicy,Morning,5
28,Veg Meals,Veg Meals,Medium,Afternoon,4
44,Biryani,Veg Biryani,Medium,Afternoon,4
67,Veg Meals,Curd Rice,Low,Afternoon,4
51,Breakfast,Poori,Low,Morning,2
16,Shawarma,Chicken Shawarma,Spicy,Evening,5
70,Veg Meals,Sambar Rice,Spicy,Afternoon,3
11,Dessert,Brownie,Low,Night,2
68,Breakfast,Pongal,Low,Morning,4
29,Shawarma,Chicken Shawarma,Low,Night,2
18,Biryani,Mutton Biryani,Spicy,Afternoon,4
16,Breakfast,Idli,Spicy,Morning,4
13,Dessert,Ice Cream,Low,Night,4
71,Shawarma,Chicken Shawarma,Spicy,Night,3
36,Biryani,Veg Biryani,Medium,Night,2
60,Biryani,Mutton Biryani,Medium,Afternoon,3
65,Pizza,Veg Pizza,Spicy,Evening,4
69,Pizza,Veg Pizza,Low,Evening,2
41,Dessert,Brownie,Low,Evening,4
47,Biryani,Veg Biryani,Medium,Afternoon,5
68,Shawarma,Paneer Shawarma,Low,Evening,5
63,Biryani,Veg Biryani,Medium,Afternoon,3
74,Shawarma,Chicken Shawarma,Low,Evening,2
28,Veg Meals,Veg Meals,Medium,Afternoon,2
67,Biryani,Mutton Biryani,Spicy,Night,5
16,Dessert,Ice Cream,Low,Night,3
42,Breakfast,Vada,Spicy,Morning,4
68,Shawarma,Chicken Shawarma,Low,Night,4
70,Pizza,Chicken Pizza,Low,Evening,5
28,Veg Meals,Sambar Rice,Spicy,Afternoon,4
44,Biryani,Veg Biryani,Medium,Night,4
51,Veg Meals,Curd Rice,Low,Afternoon,5
48,Dessert,Ice Cream,Low,Evening,4
65,Dessert,Brownie,Low,Night,3
13,Pizza,Cheese Pizza,Low,Night,5
33,Pizza,Veg Pizza,Medium,Evening,2
21,Veg Meals,Sambar Rice,Spicy,Afternoon,5
52,Breakfast,Dosa,Spicy,Morning,5
61,Veg Meals,Veg Meals,Medium,Afternoon,5
27,Breakfast,Idli,Medium,Morning,2
40,Breakfast,Vada,Medium,Morning,4
58,Breakfast,Pongal,Spicy,Morning,3
47,Veg Meals,Veg Meals,Spicy,Afternoon,5
37,Pizza,Chicken Pizza,Low,Night,2
19,Dessert,Brownie,Low,Evening,4
33,Biryani,Veg Biryani,Low,Afternoon,3
47,Dessert,Ice Cream,Low,Evening,3
44,Breakfast,Poori,Low,Morning,4
59,Veg Meals,Sambar Rice,Medium,Afternoon,3
15,Breakfast,Idli,Low,Morning,2
20,Veg Meals,Curd Rice,Medium,Afternoon,5
52,Biryani,Chicken Biryani,Medium,Night,5
31,Dessert,Ice Cream,Low,Night,3
51,Shawarma,Paneer Shawarma,Low,Evening,2
32,Pizza,Chicken Pizza,Spicy,Night,2
33,Veg Meals,Curd Rice,Low,Afternoon,2
16,Shawarma,Chicken Shawarma,Medium,Evening,5
61,Dessert,Ice Cream,Low,Evening,5
54,Veg Meals,Veg Meals,Medium,Afternoon,3
53,Shawarma,Paneer Shawarma,Spicy,Night,4
31,Pizza,Veg Pizza,Spicy,Night,5
44,Breakfast,Dosa,Spicy,Morning,5
16,Shawarma,Chicken Shawarma,Medium,Night,2
65,Pizza,Chicken Pizza,Medium,Evening,2
49,Breakfast,Dosa,Low,Morning,4
74,Dessert,Brownie,Low,Night,3
13,Breakfast,Idli,Low,Morning,2
28,Veg Meals,Sambar Rice,Spicy,Afternoon,2
27,Veg Meals,Sambar Rice,Medium,Afternoon,3
74,Veg Meals,Veg Meals,Low,Afternoon,4
64,Shawarma,Paneer Shawarma,Spicy,Night,3
16,Dessert,Cake,Low,Evening,2
18,Dessert,Cake,Low,Night,2
59,Biryani,Mutton Biryani,Spicy,Night,5
48,Shawarma,Paneer Shawarma,Low,Evening,5
40,Biryani,Mutton Biryani,Medium,Night,3
29,Biryani,Chicken Biryani,Spicy,Night,4
58,Veg Meals,Veg Meals,Low,Afternoon,3
67,Biryani,Mutton Biryani,Low,Night,3
38,Breakfast,Poori,Medium,Morning,2
34,Biryani,Chicken Biryani,Medium,Night,3
73,Veg Meals,Curd Rice,Low,Afternoon,5
44,Pizza,Veg Pizza,Low,Evening,3
36,Pizza,Chicken Pizza,Low,Night,3
37,Pizza,Veg Pizza,Low,Night,3
25,Shawarma,Chicken Shawarma,Low,Night,5
21,Shawarma,Chicken Shawarma,Medium,Night,5
18,Shawarma,Chicken Shawarma,Low,Night,2
41,Dessert,Cake,Low,Night,3
63,Veg Meals,Sambar Rice,Low,Afternoon,3
41,Veg Meals,Curd Rice,Medium,Afternoon,4
28,Shawarma,Chicken Shawarma,Medium,Night,5
41,Breakfast,Poori,Spicy,Morning,4
52,Dessert,Cake,Low,Evening,2
60,Veg Meals,Sambar Rice,Low,Afternoon,4
39,Pizza,Cheese Pizza,Spicy,Evening,2
23,Pizza,Chicken Pizza,Medium,Evening,4
54,Veg Meals,Curd Rice,Low,Afternoon,4
43,Breakfast,Pongal,Spicy,Morning,5
43,Veg Meals,Veg Meals,Spicy,Afternoon,3
58,Dessert,Ice Cream,Low,Night,2
22,Shawarma,Paneer Shawarma,Spicy,Night,2
51,Breakfast,Dosa,Medium,Morning,2
72,Shawarma,Chicken Shawarma,Spicy,Night,2
65,Breakfast,Vada,Low,Morning,3
10,Veg Meals,Sambar Rice,Low,Afternoon,2
37,Pizza,Cheese Pizza,Spicy,Evening,5
14,Biryani,Chicken Biryani,Spicy,Night,4
17,Shawarma,Paneer Shawarma,Medium,Night,3
57,Shawarma,Chicken Shawarma,Medium,Evening,3
15,Pizza,Chicken Pizza,Medium,Night,2
22,Shawarma,Chicken Shawarma,Spicy,Evening,3
52,Shawarma,Chicken Shawarma,Spicy,Evening,3
34,Pizza,Veg Pizza,Medium,Night,2
44,Veg Meals,Veg Meals,Spicy,Afternoon,4
55,Shawarma,Chicken Shawarma,Medium,Evening,4
52,Breakfast,Pongal,Low,Morning,4
60,Pizza,Veg Pizza,Low,Night,2
11,Pizza,Cheese Pizza,Low,Evening,3
33,Shawarma,Paneer Shawarma,Low,Night,4
70,Breakfast,Vada,Medium,Morning,4
11,Biryani,Veg Biryani,Medium,Afternoon,4
61,Shawarma,Chicken Shawarma,Low,Evening,4
26,Pizza,Chicken Pizza,Low,Evening,3
37,Shawarma,Chicken Shawarma,Medium,Evening,3
55,Dessert,Cake,Low,Evening,4
72,Breakfast,Dosa,Medium,Morning,4
66,Veg Meals,Sambar Rice,Spicy,Afternoon,3
20,Pizza,Veg Pizza,Medium,Evening,3
26,Dessert,Brownie,Low,Night,2
32,Biryani,Chicken Biryani,Spicy,Afternoon,5
19,Shawarma,Paneer Shawarma,Low,Evening,3
36,Pizza,Chicken Pizza,Medium,Evening,4
68,Shawarma,Paneer Shawarma,Low,Evening,4
46,Shawarma,Paneer Shawarma,Medium,Night,2
52,Breakfast,Vada,Medium,Morning,4
38,Dessert,Cake,Low,Night,4
33,Dessert,Brownie,Low,Night,5
33,Pizza,Cheese Pizza,Spicy,Evening,4
65,Breakfast,Idli,Medium,Morning,5
68,Biryani,Chicken Biryani,Low,Afternoon,3
10,Breakfast,Idli,Low,Morning,4
29,Pizza,Cheese Pizza,Low,Night,2
58,Breakfast,Idli,Low,Morning,4
11,Biryani,Mutton Biryani,Spicy,Night,5
66,Breakfast,Pongal,Low,Morning,3
57,Biryani,Chicken Biryani,Low,Afternoon,4
14,Pizza,Veg Pizza,Spicy,Night,2
35,Pizza,Chicken Pizza,Medium,Evening,3
26,Breakfast,Vada,Medium,Morning,5
66,Shawarma,Paneer Shawarma,Medium,Evening,5
34,Breakfast,Idli,Low,Morning,5
19,Dessert,Cake,Low,Evening,4
34,Pizza,Veg Pizza,Spicy,Night,4
18,Dessert,Ice Cream,Low,Night,3
53,Biryani,Veg Biryani,Medium,Night,3
20,Shawarma,Paneer Shawarma,Low,Evening,2
34,Dessert,Cake,Low,Night,5
34,Veg Meals,Veg Meals,Low,Afternoon,4
46,Dessert,Cake,Low,Evening,5
32,Breakfast,Pongal,Low,Morning,4
55,Dessert,Cake,Low,Evening,3
36,Veg Meals,Veg Meals,Medium,Afternoon,3
39,Breakfast,Idli,Spicy,Morning,2
14,Biryani,Mutton Biryani,Medium,Afternoon,2
44,Breakfast,Pongal,Medium,Morning,3
73,Dessert,Cake,Low,Evening,2
17,Biryani,Veg Biryani,Medium,Afternoon,5
32,Biryani,Mutton Biryani,Low,Afternoon,2
30,Pizza,Cheese Pizza,Low,Night,5
38,Pizza,Veg Pizza,Spicy,Night,3
25,Dessert,Ice Cream,Low,Night,3
56,Biryani,Veg Biryani,Spicy,Afternoon,4
11,Pizza,Veg Pizza,Spicy,Evening,3
20,Breakfast,Vada,Low,Morning,2
62,Dessert,Cake,Low,Evening,5
59,Dessert,Brownie,Low,Night,2
50,Pizza,Cheese Pizza,Medium,Night,2
73,Dessert,Ice Cream,Low,Night,3
36,Veg Meals,Sambar Rice,Low,Afternoon,5
41,Biryani,Veg Biryani,Medium,Night,5
61,Dessert,Ice Cream,Low,Evening,2
39,Breakfast,Poori,Medium,Morning,2
11,Dessert,Ice Cream,Low,Evening,5
51,Breakfast,Dosa,Low,Morning,4
51,Biryani,Chicken Biryani,Spicy,Night,5
38,Veg Meals,Veg Meals,Low,Afternoon,5
23,Veg Meals,Veg Meals,Medium,Afternoon,3
23,Biryani,Mutton Biryani,Spicy,Night,5
24,Pizza,Veg Pizza,Low,Evening,4
63,Shawarma,Paneer Shawarma,Low,Evening,4
22,Breakfast,Pongal,Spicy,Morning,3
41,Shawarma,Paneer Shawarma,Low,Night,4
49,Veg Meals,Curd Rice,Spicy,Afternoon,4
50,Pizza,Veg Pizza,Medium,Night,5
62,Veg Meals,Sambar Rice,Medium,Afternoon,5
11,Veg Meals,Sambar Rice,Medium,Afternoon,5
58,Dessert,Ice Cream,Low,Evening,3
72,Shawarma,Chicken Shawarma,Low,Evening,3
64,Dessert,Ice Cream,Low,Night,3
63,Shawarma,Chicken Shawarma,Medium,Night,2
21,Breakfast,Pongal,Spicy,Morning,3
